Kale with lemon tahini dressing,A quick and easy stir-fried kale side dish. Drizzle over a glug of the lemon tahini dressing for a flavourful and fresh way to get your greens,10 mins,Easy,https://www.bbcgoodfood.com/recipes/kale-lemon-tahini-dressing,
Veggie tahini lentils,"Quick, easy and packed with healthy veg, this is a great midweek meal for vegans and veggies",20 mins,Easy,https://www.bbcgoodfood.com/recipes/veggie-tahini-lentils,
Black tahini chocolate cookies,"Make your own tahini using black or white sesame seeds, this recipe shows you how. Black ones have a nuttier, sweeter flavour, making them perfect for baking",28 mins,More effort,https://www.bbcgoodfood.com/recipes/black-tahini-chocolate-cookies,
Banana & tahini porridge,Pep up your porridge with a tahini drizzle and toasted sesame seeds. Oats and tahini help to promote good digestion so you can start your day the healthy way,10 mins,Easy,https://www.bbcgoodfood.com/recipes/banana-tahini-porridge,
Tahini banana cake,Try tahini as a secret ingredient in banana cake – it works brilliantly. Decorate it with our tahini buttercream topping and chocolate chips...,1 hour and 5 mins,Easy,https://www.bbcgoodfood.com/recipes/tahini-banana-cake,
"Tahini, feta & honey toastie","Indulge in a melty feta toastie, with nutty tahini and a drizzle of honey. This is irresistible quick comfort food you can make in just ten minutes",10 mins,Easy,https://www.bbcgoodfood.com/recipes/tahini-feta-honey-toastie,
Banana-tahini Eton mess,"Combine meringue, cream, tahini, bananas and salted caramel to make this quick dessert that's a twist on Eton mess. It's the perfect no-cook pudding for summer...",20 mins,Easy,https://www.bbcgoodfood.com/recipes/banana-tahini-eton-mess,
Coleslaw with tahini yogurt dressing,"This light coleslaw swaps mayonnaise for yogurt and tahini paste to make a low fat, super healthy side dish - perfect for a BBQ",15 mins,Easy,https://www.bbcgoodfood.com/recipes/coleslaw-tahini-yogurt-dressing,
Courgette & tahini dip,"Serve this thick, moreish dip of roasted courgettes and Greek yogurt with crudités or flatbread as part of a Lebanese meze spread",30 mins,Easy,https://www.bbcgoodfood.com/recipes/courgette-tahini-dip,
Salmon with tahini sauce,"This colourful fish supper is ready in just half an hour, served on a bed of couscous with crunchy cucumber and pomegranate seeds",30 mins,Easy,https://www.bbcgoodfood.com/recipes/salmon-tahini-sauce,
Tahini & lemon sauce,"This thick and creamy Greek sauce is almost like a dip - serve with slow-cooked meats, roasted vegetables, or chunks of bread for dipping",10 mins,Easy,https://www.bbcgoodfood.com/recipes/tahini-lemon-sauce,
Cumin roast veg with tahini dressing,"Get all five of your 5-a-day in one super-healthy packed lunch, bursting with nutrients including calcium, folate, fibre, vitamin C and iron",1 hour,Easy,https://www.bbcgoodfood.com/recipes/cumin-roast-veg-tahini-dressing,
Spiced lamb with bulgur & tahini dressing,"Flavour lamb mince with cumin and coriander and serve on a bed of tabbouleh-style wheat with parsley, tomatoes and sesame dressing",40 mins,Easy,https://www.bbcgoodfood.com/recipes/spiced-lamb-bulghar-tahini-dressing,
Marrakech lamb with tahini squash gratin,"Spice up your Sunday lunch with this Moroccan roast lamb, bursting with North African flavours - coriander, cumin, cinnamon and mint",2 hours and 20 mins,More effort,https://www.bbcgoodfood.com/recipes/marrakech-lamb-tahini-squash-gratin,
Moroccan roasted veg with tahini dressing,"Oven bake courgettes, peppers and aubergines, add a kick of harissa and serve with couscous salad and cool yoghurt sauce",45 mins,Easy,https://www.bbcgoodfood.com/recipes/moroccan-roasted-veg-tahini-dressing,
